id,timestamp,x,y,z
1282,0,-1195.136108,-1570.902588,4.618206
1538,0,-1197.428833,-1572.196289,4.612678
3074,0,-1168.922974,-1581.978638,4.383657
3330,0,-1168.173096,-1582.682739,4.387518
3842,0,-1191.677856,-1568.919678,4.341850
4354,0,-1185.716064,-1557.851929,4.361285
4610,0,-1186.829102,-1557.090088,4.362370
5122,0,-1166.416504,-1595.613403,4.290648
5378,0,-1200.006958,-1571.165039,4.571609
5634,0,-1165.780884,-1596.664429,4.290898
6146,0,-1199.684326,-1563.577515,4.619195
6402,0,-1201.693848,-1572.640137,4.608053
6658,0,-1200.930054,-1565.173340,4.615115
7170,0,-1202.973267,-1562.666626,4.614628
7426,0,-1204.880981,-1566.629517,4.607941
7682,0,-1204.758667,-1564.328125,4.572418
8194,0,-1177.553589,-1586.543579,3.813036
8450,0,-1207.670898,-1566.004272,4.607917
8706,0,-1206.862183,-1562.775024,4.607931
9218,0,-1208.219727,-1563.630859,4.607922
9474,0,-1154.077026,-1601.718262,4.372283
9730,0,-1205.161743,-1554.046143,4.373430
9986,0,-1208.877930,-1560.010986,4.607913
10242,0,-1150.167480,-1601.677124,4.389506
10498,0,-1153.694946,-1605.001709,4.379384
10754,0,-1203.478271,-1543.000610,4.310712
11010,0,-1189.696655,-1565.735474,4.270414
11266,0,-1170.593628,-1591.525024,4.270984
11778,0,-1172.009888,-1584.687134,4.331173
12034,0,-1211.286743,-1533.605103,4.274439
12290,0,-1196.315796,-1531.164307,4.389846
12546,0,-1143.596924,-1630.699097,4.282930
13314,0,-1223.927490,-1612.094238,4.111273
13570,0,-1220.992554,-1516.583862,4.244413
13826,0,-1169.493896,-1506.245483,4.379505
14082,0,-1259.263672,-1513.445068,4.323353
14338,0,-1178.023560,-1569.567749,4.358033
14594,0,-1185.455566,-1568.102295,4.307980
14850,0,-1183.546509,-1575.228760,4.273339
15106,0,-1149.201782,-1596.172974,4.386547
15362,0,-1148.350464,-1595.243652,4.386868
15618,0,-1150.859497,-1580.298584,4.434493
15874,0,-1199.676636,-1573.766357,4.608032
16386,0,-1204.652466,-1559.847778,4.615102
16642,0,-1202.287720,-1569.552124,4.607912
18178,0,-1190.235596,-1549.933716,4.365992
18434,0,-1204.902710,-1557.386963,4.617652
18946,0,-1212.748779,-1530.758789,4.268394
19458,0,-1170.415405,-1570.984497,4.171375
49666,0,-1060.220581,-1515.966919,4.991838
27138,0,-1100.050781,-1558.078247,-100.000000
27394,0,-1257.042480,-1468.765015,4.344105
27650,0,-1090.240234,-1570.106689,-100.000000
28162,0,-1101.696167,-1795.754883,0.457933
56834,0,-1085.341431,-1474.331421,-100.000000
28674,0,-1234.859131,-1498.562622,4.352047
29442,0,-1023.160339,-1627.109375,-100.000000
22786,0,-1238.878296,-1542.376709,4.321336
23042,0,-1246.172852,-1578.978027,4.075782
23298,0,-1221.086426,-1517.762695,4.262104
57602,0,-1261.172607,-1467.835571,4.360703
30466,0,-1274.246948,-1589.048462,4.101921
40450,0,-1262.893677,-1490.005493,4.331267
28930,0,-1099.895386,-1542.077271,4.376183
29698,0,-1300.201538,-1506.655273,4.316525
30978,0,-1212.582520,-1538.326294,4.349866
31490,0,-1164.376953,-1456.908325,4.254819
31746,0,-1272.552490,-1443.403809,4.616418
32770,0,-1162.057495,-1603.520752,4.285878
33282,0,-1303.348999,-1619.090698,4.184264
55298,0,-1156.344604,-1609.349731,4.325332
45058,0,-1101.696167,-1795.754883,0.457933
38402,0,-1135.463989,-1636.290649,4.343988
40962,0,-1087.619019,-1552.872314,4.454988
41730,0,-869.254517,-1568.728027,108.069115
42498,0,-1452.961060,-1474.018311,74.566986
42754,0,-1452.961060,-1474.018311,74.566986
43522,0,-1213.623413,-1450.587402,4.379814
45314,0,-1101.696167,-1795.754883,0.457933
45826,0,-1263.339478,-1488.055542,4.330462
47362,0,-1101.696167,-1795.754883,0.457933
47874,0,-1085.653442,-1569.402344,3.608490
48386,0,-1230.683716,-1506.002075,4.337349
54274,0,-1238.192017,-1461.361084,4.278574
57090,0,-1084.662964,-1473.782227,-100.000000
51714,0,-1144.893555,-1411.182739,5.080398
57346,0,-1205.264648,-1378.883911,-100.000000
52226,0,-1140.192261,-1404.290894,4.497010
52482,0,-1144.939697,-1408.398315,4.992703
52738,0,-1214.213989,-1392.480103,4.169185
54530,0,-1254.181274,-1468.677368,4.319696
56578,0,-1200.567261,-1377.405396,-100.000000
55554,0,-1080.026611,-1452.425415,5.173717
56322,0,-1100.233887,-1314.280273,4.919177
1282,516,-1195.136108,-1570.902588,4.618206
1538,516,-1197.428833,-1572.196289,4.612678
3074,516,-1168.922974,-1581.978638,4.383657
3330,516,-1168.173096,-1582.682739,4.387518
