id,timestamp,x,y,z
6148,0,147.406006,-832.517517,31.113785
206852,0,143.484116,-827.126648,31.144901
104708,0,270.758148,-836.242004,-100.000000
606979,0,134.326569,-977.619202,29.402737
179460,0,146.424362,-833.611023,31.101698
562179,0,141.363876,-957.850525,29.638071
148996,0,140.476334,-989.601074,28.839626
194564,0,262.476135,-977.988098,29.354168
168964,0,119.193352,-883.779846,31.140446
106500,0,251.013458,-868.932251,29.444780
178436,0,270.109558,-966.824219,29.306633
164868,0,100.942429,-1024.145508,-100.000000
752643,0,187.092972,-844.301941,31.051893
605699,0,0.191594,-1223.408691,300.032227
666883,0,269.440613,-872.178223,29.144794
205316,0,197.614792,-1040.787354,-100.000000
152580,0,232.459763,-947.641357,29.041803
772611,0,184.056793,-828.625000,30.602814
671747,0,151.090256,-929.377808,29.990162
115716,0,143.969925,-1028.463501,29.344423
203524,0,139.684418,-989.269348,28.839602
195332,0,225.430054,-970.671448,28.800512
184836,0,65.910210,-985.943909,-100.000000
146180,0,274.613342,-950.429810,29.351112
162308,0,241.979782,-884.416138,30.513954
189444,0,242.405304,-891.467590,30.489632
139268,0,253.019073,-1014.273499,29.268297
221444,0,242.519547,-883.690125,30.513083
1284,0,126.970612,-872.657471,30.626659
93188,0,66.622726,-963.213074,29.357519
140548,0,151.161682,-934.846008,29.404263
744963,0,101.372406,-956.651855,29.493656
171780,0,140.940247,-829.345947,31.161463
138244,0,241.252594,-883.407471,30.513954
728323,0,336.231506,-1025.073730,29.309519
158468,0,254.044647,-1010.377380,29.272476
772355,0,212.388367,-1012.600464,29.292633
192772,0,105.441643,-1027.946899,-100.000000
165124,0,126.182533,-870.005798,30.628826
173060,0,244.202988,-920.432983,29.257862
211972,0,158.382401,-994.403137,29.354301
196356,0,221.513275,-980.567200,28.784756
199172,0,90.717941,-1074.506348,-100.000000
205572,0,249.229340,-1024.271240,29.258123
78340,0,223.845673,-960.854492,29.290926
169220,0,208.314682,-1015.366638,29.332676
219652,0,2.860803,-940.435364,-100.000000
158724,0,129.327972,-1028.984741,29.357470
177668,0,126.585617,-1026.086182,29.357384
163076,0,261.484619,-987.543213,29.312008
180484,0,137.690231,-858.893311,30.729759
83204,0,135.711807,-1015.222107,-100.000000
211716,0,144.458282,-1034.403076,29.342131
212996,0,269.512115,-968.115479,29.311869
111620,0,223.981964,-948.703979,30.091736
161540,0,363.226746,-1044.242920,28.692589
205060,0,134.383728,-861.821777,30.714056
185092,0,252.916946,-902.777222,28.964481
169476,0,125.310249,-1026.020264,29.357410
218116,0,2398.646484,-488.595642,1027.089722
12036,0,233.109985,-946.300232,29.041803
119556,0,147.781921,-833.547363,31.102631
182788,0,259.322571,-980.451050,29.355013
135684,0,-132.107712,-706.798035,251.796036
725763,0,244.108444,-845.023926,29.457825
98564,0,224.804733,-972.237000,28.810619
172804,0,115.064987,-1032.911499,29.350546
193284,0,262.790833,-976.813293,29.347727
100100,0,257.776794,-849.863770,28.821751
187908,0,216.676376,-1125.463257,28.675737
212484,0,198.035278,-1036.362549,-100.000000
728067,0,335.287964,-1024.964722,29.302618
199940,0,136.484467,-857.637573,30.739178
126724,0,254.133972,-1014.305969,29.269478
759043,0,187.925064,-843.436584,31.028358
87300,0,204.988708,-992.812622,30.091934
143364,0,157.882080,-957.495667,30.130390
735491,0,334.866760,-1026.212036,29.300003
79620,0,225.432907,-973.204407,29.308672
176900,0,-1367.084839,687.636475,937.390869
142596,0,186.511154,-1047.461060,29.309345
183556,0,285.762939,-954.077576,28.963547
139780,0,194.214951,-943.025818,30.691793
756227,0,335.971863,-1026.286133,29.305576
761603,0,236.736420,-938.648499,28.821102
763395,0,172.220993,-924.917358,30.690657
771331,0,235.259369,-956.917786,29.288786
204036,0,175.445816,-1002.557983,28.813068
142340,0,94.382263,-1028.447388,-100.000000
199684,0,224.912994,-858.394714,30.107851
6148,501,147.406006,-832.517517,31.113785
206852,501,144.255386,-827.209412,31.144550
104708,501,270.758148,-836.242004,-100.000000
606979,501,134.073730,-978.431580,29.377884
179460,501,146.424362,-833.611023,31.101698
562179,501,140.902649,-959.118347,29.617599
148996,501,140.476334,-989.601074,28.839626
194564,501,262.476135,-977.988098,29.354168
168964,501,119.193352,-883.779846,31.140446
106500,501,251.537720,-869.425598,29.429789
178436,501,270.109558,-966.824219,29.306633
164868,501,100.942429,-1024.145508,-100.000000
752643,501,187.094315,-844.306641,31.051893
605699,501,2.871751,-1222.108032,300.032623
666883,501,270.410889,-872.221191,29.168024
205316,501,197.614792,-1040.787354,-100.000000
152580,501,232.459763,-947.641357,29.041803
772611,501,189.018356,-830.441162,30.581127
671747,501,150.685532,-930.539917,29.975815
115716,501,143.257919,-1028.168579,29.346882
203524,501,139.684418,-989.269348,28.839602
195332,501,225.430054,-970.671448,28.800512
184836,501,65.910210,-985.943909,-100.000000
146180,501,274.278259,-951.129639,29.351194
162308,501,241.979782,-884.416138,30.513954
189444,501,242.405304,-891.467590,30.489632
139268,501,253.019073,-1014.273499,29.268297
221444,501,242.519547,-883.690125,30.513083
1284,501,126.970612,-872.657471,30.626659
93188,501,66.622726,-963.213074,29.357519
140548,501,151.161682,-934.846008,29.404263
744963,501,101.358231,-955.799683,29.504736
171780,501,140.940247,-829.345947,31.161463
138244,501,241.252594,-883.407471,30.513954
728323,501,336.231506,-1025.073730,29.309519
158468,501,254.044647,-1010.377380,29.272476
772355,501,212.176498,-1013.489441,29.296547
192772,501,105.441643,-1027.946899,-100.000000
165124,501,126.182533,-870.005798,30.628826
173060,501,243.878723,-921.225891,29.266365
211972,501,157.658325,-994.117859,29.354975
196356,501,221.513275,-980.567200,28.784756
199172,501,90.717941,-1074.506348,-100.000000
205572,501,249.229340,-1024.271240,29.258123
78340,501,223.845673,-960.854492,29.290926
169220,501,209.085449,-1015.587341,29.341002
219652,501,2.860803,-940.435364,-100.000000
158724,501,129.327972,-1028.984741,29.357470
177668,501,126.585617,-1026.086182,29.357384
163076,501,261.484619,-987.543213,29.312008
180484,501,137.690231,-858.893311,30.729759
83204,501,135.711807,-1015.222107,-100.000000
211716,501,143.687546,-1034.112915,29.343935
212996,501,269.512115,-968.115479,29.311869
111620,501,223.981964,-948.703979,30.091736
161540,501,356.101196,-1044.374756,28.739748
205060,501,134.383728,-861.821777,30.714056
185092,501,253.257172,-901.854004,28.976950
169476,501,125.310249,-1026.020264,29.357410
12036,501,233.109985,-946.300232,29.041803
119556,501,147.781921,-833.547363,31.102631
182788,501,259.322571,-980.451050,29.355013
135684,501,-135.375366,-702.305176,246.926407
725763,501,246.477844,-845.559631,29.397974
98564,501,224.804733,-972.237000,28.810619
172804,501,115.064987,-1032.911499,29.350546
193284,501,262.790833,-976.813293,29.347727
100100,501,257.776794,-849.863770,28.821751
187908,501,216.282074,-1121.380249,28.702206
