id,timestamp,x,y,z
534018,0,-37.115440,-1462.569946,-100.000000
544258,0,-37.027275,-1462.423096,-100.000000
517122,0,39.134022,-1488.308350,28.503515
2818,0,-11.323400,-1440.091431,31.578899
296962,0,-194.265503,-1672.670654,33.570766
523010,0,149.373444,-1625.860229,-100.000000
544002,0,256.717255,-1659.347656,29.133345
542210,0,148.974792,-1614.636475,-100.000000
17154,0,88.632881,-1409.198120,29.421741
297986,0,-225.884186,-1665.083862,34.462746
535554,0,265.160278,-1666.583984,-100.000000
14082,0,9.536148,-1409.264893,29.297232
14338,0,10.567558,-1408.818359,29.300634
15106,0,-87.403320,-1526.942749,33.615925
16642,0,88.501640,-1410.531250,29.421230
254210,0,-269.414154,-1606.393921,31.848701
230914,0,38.492073,-1559.571289,29.288486
155906,0,37.367455,-1351.540649,29.305140
526338,0,169.554611,-1593.758301,28.804649
287234,0,-300.708069,-1330.751099,31.291235
160002,0,-81.595726,-1370.818481,29.347378
296706,0,-194.532837,-1671.154297,33.559063
286466,0,148.083435,-1197.285278,29.295107
536066,0,162.186966,-1607.717896,28.945715
543746,0,192.330460,-1582.786499,28.939125
522498,0,80.725128,-1488.450317,29.313141
279810,0,-107.852188,-1682.098511,29.346531
34050,0,-201.035797,-1270.519897,300.023560
540418,0,53.996521,-1530.766357,29.124260
500994,0,-96.452621,-1495.793091,32.789829
472834,0,218.959412,-1590.307373,29.313332
424194,0,299.406555,-1507.295166,29.256962
49922,0,-239.184525,-1396.644409,31.276045
148994,0,66.675331,-1347.851196,29.276199
289282,0,249.739822,-1576.494751,29.306850
521218,0,32.683285,-1483.040894,29.256563
183042,0,148.804688,-1781.867188,29.250740
523522,0,82.479897,-1517.640381,28.901545
186626,0,-139.112442,-1715.123047,30.052429
468738,0,-70.540520,-1233.354858,28.991774
536322,0,-21.465071,-1460.746704,30.373960
73730,0,-1134.514771,-3362.049805,22.591917
534274,0,72.716179,-1491.528076,28.681025
543490,0,199.182831,-1609.483032,29.044165
288002,0,344.417511,-1558.763916,29.297750
531970,0,28.245184,-1480.334717,29.374041
167938,0,47.017479,-1382.934692,29.293776
168194,0,21.233799,-1456.784424,30.543648
169218,0,297.069824,-1507.649780,29.283726
169730,0,265.511200,-1646.397583,29.278257
171010,0,-260.418915,-1413.835327,31.288742
174850,0,39.416805,-1355.494263,29.246561
524802,0,76.968468,-1494.140991,28.693783
523266,0,-188.116760,-1608.070068,33.287468
175618,0,-125.312561,-1766.215210,29.793890
176130,0,-124.878464,-1765.981567,29.792284
536834,0,54.797237,-1520.712402,28.922426
535298,0,156.628235,-1585.758057,28.798786
535810,0,58.892448,-1523.762451,28.759375
88578,0,-234.084641,-1388.467773,31.258394
88834,0,-233.083801,-1387.906006,31.258379
540162,0,155.178223,-1611.913208,-100.000000
288770,0,87.778397,-1668.047607,29.234837
539394,0,157.194138,-1611.220337,28.935772
516354,0,43.888985,-1493.798218,28.867895
539138,0,-188.385406,-1607.971558,33.935261
280578,0,194.822998,-1761.737549,29.233196
169986,0,297.116150,-1508.140625,29.281158
167426,0,-24.486578,-1632.988892,29.250748
156930,0,69.820023,-1646.891724,29.178181
534786,0,147.040451,-1579.407104,28.909328
288258,0,303.415070,-1591.169800,30.532854
534018,516,-37.115440,-1462.569946,-100.000000
544258,516,-37.027275,-1462.423096,-100.000000
517122,516,39.134022,-1488.308350,28.503515
2818,516,-11.323400,-1440.091431,31.578899
296962,516,-194.265503,-1672.670654,33.570766
523010,516,149.373444,-1625.860229,-100.000000
544002,516,256.906708,-1659.512695,29.134518
542210,516,148.974792,-1614.636475,-100.000000
17154,516,88.632881,-1409.198120,29.421741
297986,516,-225.884186,-1665.083862,34.462746
535554,516,265.160278,-1666.583984,-100.000000
14082,516,9.536148,-1409.264893,29.297232
14338,516,10.567558,-1408.818359,29.300634
15106,516,-87.403320,-1526.942749,33.615925
16642,516,88.501640,-1410.531250,29.421230
254210,516,-269.414154,-1606.393921,31.848701
230914,516,38.062511,-1560.056885,29.291805
155906,516,37.835835,-1351.558350,29.300289
526338,516,174.544342,-1596.313599,28.835438
287234,516,-300.708069,-1330.751099,31.291235
160002,516,-81.353996,-1371.619629,29.341047
296706,516,-194.532837,-1671.154297,33.559063
286466,516,148.083435,-1197.285278,29.295107
536066,516,162.186966,-1607.717896,28.945715
543746,516,192.330460,-1582.786499,28.939125
522498,516,80.725128,-1488.450317,29.313141
279810,516,-107.852188,-1682.098511,29.346531
34050,516,-197.992523,-1270.108887,300.023560
540418,516,54.387089,-1530.304810,29.124590
500994,516,-97.758011,-1497.341797,32.878693
472834,516,219.554901,-1589.553467,29.310120
424194,516,299.406555,-1507.295166,29.256962
49922,516,-239.184525,-1396.644409,31.276045
148994,516,65.906189,-1347.276855,29.242430
289282,516,249.739822,-1576.494751,29.306850
521218,516,32.683285,-1483.040894,29.256563
183042,516,148.804688,-1781.867188,29.250740
523522,516,82.479897,-1517.640381,28.901545
186626,516,-139.112442,-1715.123047,30.052429
468738,516,-70.540520,-1233.354858,28.991774
536322,516,-28.807722,-1461.343750,30.659548
73730,516,-1134.514771,-3362.049805,22.591917
534274,516,72.716179,-1491.528076,28.681025
543490,516,205.154922,-1613.831299,29.045654
288002,516,344.417511,-1558.763916,29.297750
531970,516,28.245184,-1480.334717,29.374041
167938,516,47.594151,-1382.927002,29.291931
168194,516,21.928778,-1457.305420,30.543964
169218,516,297.069824,-1507.649780,29.283726
169730,516,265.511200,-1646.397583,29.278257
171010,516,-260.484131,-1413.412354,31.288670
174850,516,39.701706,-1355.658813,29.223318
524802,516,76.968468,-1494.140991,28.693783
523266,516,-187.840881,-1609.061768,33.257488
175618,516,-125.312561,-1766.215210,29.793890
176130,516,-124.878464,-1765.981567,29.792284
536834,516,54.797237,-1520.712402,28.922426
535298,516,160.754822,-1588.247192,28.787886
535810,516,58.892448,-1523.762451,28.759375
88578,516,-234.084641,-1388.467773,31.258394
88834,516,-233.083801,-1387.906006,31.258379
540162,516,155.178223,-1611.913208,-100.000000
288770,516,87.744408,-1668.041138,29.234837
539394,516,157.194138,-1611.220337,28.935772
516354,516,43.888985,-1493.798218,28.867895
539138,516,-188.428024,-1608.564331,33.935261
280578,516,194.822998,-1761.737549,29.233196
169986,516,297.116150,-1508.140625,29.281158
167426,516,-24.078594,-1633.355225,29.256172
156930,516,69.981201,-1647.159180,29.192308
534786,516,150.388245,-1581.939453,28.906534
288258,516,303.415070,-1591.169800,30.532854
534018,1038,-37.115440,-1462.569946,-100.000000
544258,1038,-37.027275,-1462.423096,-100.000000
517122,1038,39.134022,-1488.308350,28.503515
2818,1038,-11.323400,-1440.091431,31.578899
296962,1038,-194.265503,-1672.670654,33.570766
523010,1038,149.373444,-1625.860229,-100.000000
545282,1038,257.594727,-1659.521606,-100.000000
542210,1038,148.974792,-1614.636475,-100.000000
17154,1038,88.632881,-1409.198120,29.421741
297986,1038,-225.884186,-1665.083862,34.462746
535554,1038,265.160278,-1666.583984,-100.000000
14082,1038,9.536148,-1409.264893,29.297232
14338,1038,10.567558,-1408.818359,29.300634
15106,1038,-87.403320,-1526.942749,33.615925
16642,1038,88.501640,-1410.531250,29.421230
254210,1038,-269.414154,-1606.393921,31.848701
230914,1038,37.526207,-1560.661743,29.293800
155906,1038,38.310452,-1351.576660,29.296410
526338,1038,179.614868,-1598.878174,28.814180
287234,1038,-300.708069,-1330.751099,31.291235
160002,1038,-81.101624,-1372.457275,29.334442
296706,1038,-194.532837,-1671.154297,33.559063
286466,1038,148.083435,-1197.285278,29.295107
536066,1038,162.186966,-1607.717896,28.945715
